week,p05,p10,p25,p50,p75,p90,p95,economic_view
41,4.796003671267491,5.146479806554209,5.700347832004715,6.265166642054057,6.84203420971634,7.371345791528529,7.741996419930178,recession_view
42,4.759497683661169,5.145025956227594,5.691995238225507,6.254479343461798,6.837522085998006,7.365092314400343,7.71107167800102,recession_view
43,4.766275426477179,5.1302005757021725,5.691912181395506,6.2532471302847945,6.850340014567317,7.3843581232541124,7.720860362383956,recession_view
44,4.743529166348756,5.112732640327757,5.673815884714823,6.257234283998958,6.838469503547527,7.394576108123237,7.730613984319337,recession_view
45,4.765144878617355,5.136359723641821,5.668112949667458,6.257859150552894,6.824791761238695,7.388655286267314,7.720632749824894,recession_view
46,4.75504991944271,5.125435201662268,5.663554102001408,6.244106915937931,6.819157714764012,7.383707131614963,7.6969051937277415,recession_view
47,4.7315332483661825,5.11010438305827,5.666119453613786,6.237719220550627,6.8283880469846,7.364789706740715,7.707307212664263,recession_view
48,4.745845892205341,5.078622231902711,5.669049804806658,6.232783694756186,6.8314215476885805,7.358970980280756,7.703356519993429,recession_view
49,4.717976075605663,5.086604280879232,5.649797390968696,6.232695731972871,6.8368310201834905,7.3825485627526595,7.694610548041146,recession_view
50,4.744719230302653,5.087100175780949,5.64089451211606,6.243941025776315,6.842817516797078,7.366070347299094,7.7346288089773845,recession_view
51,4.722747395477944,5.063897582899135,5.641105968547996,6.2511801068719635,6.8241229381040025,7.392811548788353,7.718390979840997,recession_view
52,4.737509578970898,5.043969146567698,5.63824979172473,6.245330009749583,6.809907725664514,7.398249689014825,7.722913843503483,recession_view
1,5.942819793476738,6.022545879054713,6.144274899090622,6.275435635770975,6.41183728786374,6.53429044337603,6.604686593618838,stress_view
2,5.811339704593527,5.916979219325094,6.103064943739618,6.284774748493581,6.480461006593041,6.665043907047583,6.774660562799436,stress_view
